day,S,I,R,E_mos,I_mos,totalHumans
315,2553,356,16454,95,62,19363
316,2553,338,16471,93,58,19362
317,2545,331,16484,84,64,19360
318,2529,327,16502,86,66,19358
319,2515,329,16514,85,65,19358
320,2494,328,16534,84,69,19356
321,2491,315,16547,81,67,19353
322,2479,314,16557,86,65,19350
323,2476,302,16571,93,65,19349
324,2468,295,16584,83,65,19347
325,2453,300,16592,82,64,19345
326,2442,301,16598,79,63,19341
327,2429,302,16609,75,58,19340
328,2421,301,16616,86,57,19338
329,2416,291,16631,97,53,19338
330,2407,286,16644,90,54,19337
331,2403,279,16652,91,50,19334
332,2390,287,16654,88,54,19331
333,2381,283,16666,82,53,19330
334,2381,269,16679,75,54,19329
335,2381,260,16683,69,55,19324
336,2377,253,16693,62,55,19323
337,2373,248,16697,60,58,19318
338,2366,240,16711,56,62,19317
339,2359,236,16720,67,59,19315
340,2354,226,16735,63,59,19315
341,2345,226,16744,62,58,19315
342,2329,227,16758,64,59,19314
343,2325,226,16761,57,61,19312
344,2316,225,16770,62,57,19311
345,2312,224,16775,63,57,19311
346,2303,226,16778,60,53,19307
347,2290,228,16788,65,48,19306
348,2283,225,16796,63,47,19304
349,2276,224,16802,60,49,19302
350,2276,214,16810,71,52,19300
351,2276,204,16820,70,50,19300
352,2276,195,16826,61,47,19297
353,2269,195,16832,59,47,19296
354,2269,187,16838,53,53,19294
355,2263,183,16845,56,52,19291
356,2248,188,16852,52,51,19288
357,2242,186,16857,49,51,19285
358,2241,182,16857,52,46,19280
359,2230,184,16865,51,43,19279
360,2229,175,16871,48,42,19275
361,2227,169,16878,50,43,19274
362,2226,165,16880,42,41,19271
363,2226,157,16887,42,43,19270
364,2222,153,16895,39,45,19270
365,2216,153,16900,41,39,19269
366,2216,151,16899,41,38,19266
367,2199,163,16900,49,34,19262
368,2194,162,16902,51,36,19258
369,2191,158,16908,53,39,19257
370,2180,163,16912,56,38,19255
371,2171,165,16914,54,37,19250
372,2170,158,16921,53,36,19249
373,2170,151,16926,55,39,19247
374,2167,149,16929,51,41,19245
375,2166,146,16930,55,43,19242
376,2162,144,16934,55,39,19240
377,2151,151,16935,51,41,19237
378,2140,154,16937,51,37,19231
379,2140,149,16938,48,39,19227
380,2138,148,16940,41,38,19226
381,2132,146,16946,36,35,19224
382,2132,138,16952,38,32,19222
383,2128,134,16959,39,35,19221
384,2127,128,16965,40,34,19220
385,2121,131,16965,39,37,19217
386,2118,128,16967,42,36,19213
387,2111,133,16968,46,36,19212
388,2108,128,16974,42,34,19210
389,2100,133,16975,34,34,19208
390,2087,139,16976,40,32,19202
391,2083,136,16982,44,30,19201
392,2082,134,16984,42,30,19200
393,2078,132,16989,41,31,19199
394,2078,127,16993,44,30,19198
395,2075,129,16992,37,30,19196
396,2069,127,16997,37,32,19193
397,2069,122,17000,34,33,19191
398,2064,122,17005,35,30,19191
399,2063,115,17010,38,28,19188
400,2059,116,17013,34,23,19188
401,2051,118,17017,42,25,19186
402,2050,114,17019,52,23,19183
403,2050,110,17022,59,25,19182
404,2048,107,17026,55,22,19181
405,2045,106,17027,59,19,19178
406,2045,103,17029,56,20,19177
407,2038,104,17034,55,21,19176
408,2037,97,17038,64,21,19172
409,2032,97,17041,68,22,19170
410,2032,91,17046,70,21,19169
411,2032,88,17046,67,25,19166
412,2031,83,17048,67,26,19162
413,2028,85,17047,58,33,19160
414,2028,78,17053,52,34,19159
415,2025,75,17059,50,35,19159
416,2025,68,17066,49,34,19159
417,2019,72,17067,53,33,19158
418,2018,73,17065,47,37,19156
419,2011,72,17070,52,39,19153
420,2011,67,17072,46,38,19150
421,2009,60,17080,44,36,19149
422,2005,59,17084,40,38,19148
423,1998,60,17089,38,37,19147
424,1996,59,17090,36,37,19145
425,1996,58,17091,35,37,19145
426,1996,54,17095,38,32,19145
